config,range,cost,velocity,result
"*aMM0++++++++*bNM2*cMN1*dLM2*eML1^ab^ac^ad^ae,21,1",0.0,3830.516,0.09459805,CouldNotStabilize
"*aMM0+++++*bNM2*cMN1+++*dLM2+++*eML1+++*fNN3+^ab^ac^ad^ae^bf,5,3",0.0,3432.808,36.41344,CouldNotStabilize
"*aMM0+*bNM2+++*cMN1+++*dLM2+++*eML1++*fLN0+*gNL0+*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,71,3",3.368,6492.117,16.84568,Success
"*aMM0++*bNM2+*cMN1+*dLM2+*eML1*fOM4*gNN4*hNL4*iMO4*jLN4*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,5,1",0.0,2372.039,6.528196,CouldNotStabilize
"*aMM0++++++++*bNM2+++*cMN2+++*dLM1+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^ej^dk,73,3",17.74105,8678.97,17.28766,Success
"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fLL3++++*gNN3++++++*hLN3*iNL3^ab^ac^ad^ae^df^bg^dh^bi,10,3",11.74733,4515.451,6.876978,Success
"*aMM2++*bNM0+*cNL0++++++++++++++++*dMN4--------*eOM2++++++++*fNN3++*gMO3++++++++++++++++*hLN2----------------*iKN3++++++++++++++++*jKO1+*kKP0----------------*lOL4----------------*mLM1++++++++++++++++*nNK3--------*oKM1--*pLO0----------------*qOK4----------------*rPK1++++++++++++++++*sOJ0++++++++*tPJ2++++^ab^bc^ad^be^df^dg^dh^hi^ij^jk^cl^hm^cn^mo^gp^nq^qr^qs^st,70,3",0.0,20728.47,2.027231,CouldNotStabilize
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fMO1+++*gKM2+++*hMK1+++*iOM2+++*jNL0*kLN0^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^jb,60,3",7.693762,5451.191,24.54452,Success
"*aMM0+++++*bNM1*cMN1+++*dLM2+++*eML1+++*fOM3+++*gMO3+++*hKM3+++*iMK3+++^ab^ac^ad^ae^bf^cg^dh^ei,5,3",0.0,3725.429,36.0625,CouldNotStabilize
"*aMM0---*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gLL1+*hNL0*iNN2+^ab^ac^ad^ae^cf^dg^eh^bi,30,3",15.69035,4947.516,31.94354,Success
"*aMM0++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM2*gMO1*hMK1*iKM2*jLN0*kNL0^ab^ac^ad^ae^bf^cg^eh^di^dj^ek,50,3",1.843115,6335.399,16.12249,HitBoundary
"*aMM0+++++*bNM2+++*cMN2++*dLM2+++*eML1+++*fOM3*gMO1*hMK3*iKM3^ab^ac^ad^ae^bf^cg^eh^di,13,3",0.0,3732.94,43.56969,CouldNotStabilize
"*aMM0+*bNM3+++*cMN3+++*dLM3+++*eML3+++*fOM1++++*gMO2*hKM1*iMK2*jNN3*kLL3^ab^ac^ad^ae^bf^cg^dh^ei^bj^dk,5,3",0.0,2827.886,9.756598,CouldNotStabilize
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------*gNL3------^ab^ac^ad^ae^df^eg^cf^gg,7,3",0.3716802,1809.291,10.24374,Success
"*aMM0+++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM3+++*gMO3+++*hKM3+++*iMK4+^ab^ac^ad^ae^bf^cg^dh^ei,20,3",0.0,3276.578,4.197624,CouldNotStabilize
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM0+*gNN0------^ab^ac^ad^ae^bf^cg,10,3",0.0,5643.218,12.78572,CouldNotStabilize
"*aMM0+++++++++++++++*bNM2+++*cMN1*dLM2*eML1^ab^ac^ad^ae,30,3",0.0,6641.482,1.790374,CouldNotStabilize
"*aMM0++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN3++*gNL3++*hLL2++*iNN1++^ab^ac^ad^ae^cf^bg^dh^ci^bi^fd^eg^ei,50,3",0.9503677,3691.217,10.29014,Success
"*aMM0+++++*bNM2++*cMN1++*dLM2++*eML1++*fMO1+++++*gKM2+++++*hMK1+++++*iOM2+++++*jNL3*kLN3^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk,42,3",0.5456523,4883.902,9.737818,Success
"*aMM0++++++++++++++++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLL2+*gNN2+*hNL1+*iLN1+*jKM1+++*kMO2+++*lOM1+++*mMK2+++^ab^ac^ad^ae^df^cg^eh^di^dj^ck^bl^em^ef^bg^bh^ci,99,3",8.714699,11141.85,5.597814,Success
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fNN1++*gLL1++^ab^ac^ad^ae^bf^cf^dg^eg,15,3",1.457643,3759.201,10.45411,Success
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------*gNL3----------^ab^ac^ad^ae^df^eg^cf^gb,2,3",25.39576,1937.143,9.924577,Success
"*aMM2++++++++++++++++*bML3----------------*cNM3+*dNL3++*eOM4----------------*fPM4----------------*gNK1--------*hNJ0++++++++++++++++*iOK0----------------*jNN1*kOJ0++++*lOL4----------------*mPL1++++++++++++++++*nPJ2--------*oPK2++++^ab^ac^bd^ce^ef^dg^gh^gi^cj^ik^il^lm^kn^io,70,3",0.0,16733.82,0.4944265,CouldNotStabilize
"*aMM0+++*bNM2++*cMN1++*dLM2*eML1*fOM4*gNN4*hNL3*iMO4*jLN3*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,9,1",0.0,2798.561,9.024886,CouldNotStabilize
"*aMM0+++++*bNM2+++*cMN2+++*dLM2+++*eML2+++*fNN3*gLL3*hOM2*iKM2++*jMO2++*kMK2++*lLN3*mNL4^ab^ac^ad^ae^cf^eg^bh^di^cj^ek^cl^em,10,3",0.0,4222.003,0.9073939,CouldNotStabilize
"*aMM2++++++++++++++++*bML3----------------*cNL2++++++++++++++++*dNK1++++++++*eNJ0++++++++++++++++*fOJ3+*gPJ4++++++++*hNM0+*iPK1*jOM4----------------^ab^bc^cd^de^ef^fg^ch^gi^hj,70,3",0.0,16360.18,1.732236,CouldNotStabilize
"*aMM2++++++++++++++++*bNM2++*cNL0++++++++++++++++*dOM2++++++++++++++++*eOL2++++++++++++++++*fNK1----------------*gMK1----------------*hNJ3++++++++++++++++*iOK4----------------*jON0++++++++++++++++*kPN1+*lMJ0----------------*mOO4----------------*nPK1----------------*oPJ2++++++++++++++++*pPL2----------------*qMN4----------------*rPM2----------------*sLN4----------------*tMO0++++++++++++++++*uLO1----------------*vKN2++++++++++++++++^ab^bc^bd^de^cf^fg^fh^fi^dj^jk^hl^jm^in^no^ep^aq^pr^qs^qt^su^sv,70,3",0.0,38241.78,1.610407,CouldNotStabilize
"*aMM2++++++++++++++++*bML3----------------*cMK1++*dMJ2----*eLM2+*fNJ0++++++++++++++++*gNK1++++++++++++++++*hKM2----------------*iNL4++++++++++++++++*jOL0----------------*kLN4----------------*lKN4++++++++++++++++*mOK2----------------*nOJ1--*oNM1++++++++++++++++*pOM4--------*qMN3++++++++++++++++*rON2----------------*sOO2----------------*tLO2++++++++++++++++*uLJ1++++*vLK3----*wPN0--------*xJN0*yKO2++++++++++++++++*zKP0----------------*!LP0----------------*@NN0++++++++++++++++^ab^bc^cd^ae^df^fg^eh^bi^ij^ek^kl^gm^fn^io^jp^kq^pr^rs^kt^du^uv^rw^lx^ty^yz^t!^q@,70,3",0.0,34043.92,6.525853,CouldNotStabilize
"*aMM0--*bNM2++*cMN1++*dLM2++*eML1++*fMO4++*gKM4++*hMK4++*iOM4++*jNL0++*kLN0++*lMP1++++*mPM2++++*nJM2++++*oMJ1++++^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^kc^fl^im^gn^ho^jb,99,3",0.0,6512.31,0.0001686193,CouldNotStabilize
"*aMM0--*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0+*gNL0+*hLL1++*iNN2++^ab^ac^ad^ae^df^eg^eh^fc^ci,38,3",16.93355,5532.393,30.90871,Success
"*aMM4++++++++++++++++*bNM0++++++++*cNL0++++++++++++++++*dOL2++++++++++++++++^ab^bc^cd,70,3",0.0,13550.0,0.9485965,CouldNotStabilize
"*aMM0*bNM2*cMN1*dLM0*eML4*fOM4*gNN4*hNL4*iMO4*jLN4*kKM4*lLL4*mMK4*nPM4*oON4*pOL4*qNO4*rMP4*sLO4*tKN4*uJM4*vKL4*wNK4*xLK4*yMJ4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^fn^fo^fp^iq^ir^is^kt^ku^kv^mw^mx^my^cg^dj^eh^el,40,3",0.0,3156.0,0.391481,CouldNotStabilize
