config,range,cost,velocity
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^eg^cf^bg,2,3",9.082235336,1736.543457,11.69563103
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3---------------------^ab^ac^ad^ae^df^eg^cf^bg,2,3",8.032859802,1733.124146,11.95924091
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------------*gNL3-------------------------^ab^ac^ad^ae^df^eg^cf^bg,2,3",4.877543926,1721.420166,12.99487591
"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^df^eg^cf^bg,6,3",15.47025967,2153.520752,10.03732491
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^eg^cf^bg,6,3",6.722533226,1915.518677,11.84788227
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------*gNL3-----------^ab^ac^ad^ae^df^eg^cf^bg,7,3",7.149392605,1931.343994,10.5800457
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3-----------------^ab^ac^ad^ae^df^eg^cf^bg,7,3",5.161971569,1901.919312,11.6766386
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^eg^cf^eg,1,3",57.12803268,1752.381714,10.40973282
"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^eg^cf^eg,7,3",6.019239426,1915.518677,11.20921516
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3---------------------^ab^ac^ad^ae^df^eg^cf^fg^gb,0,3",48.88494492,1733.124146,11.1155529
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3",79.48867035,1742.095215,10.63311481
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3",60.26011276,1738.358032,10.87917423
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3",60.04105377,1736.543457,10.8698101
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3--------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3",48.99502563,1734.83374,11.05564404
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------*gNL3----------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3*",41.15434647,1729.908325,11.37849903
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^eg^cf^gb,1,3",74.46535492,1761.684937,10.04063034
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------*gNL3---------------^ab^ac^ad^ae^df^eg^cf^gb,1,3",74.45944977,1756.91272,10.21967125
"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^eg^cf^gb,1,3",34.52578735,1744.017944,10.82554054
