config,range,cost,velocity,result
"*aMM0+++*bNM2+*cMN1+*dLM2+*eML1+*fOM4*gNN4*hNL3*iMO4*jLN3*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,10,2",9.991607,2772.311,10.2731,Success
"*aMM0+++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNN3++*gLL1^ab^ac^ad^ae^cf^eg^bf^dg,20,3",-0.0090536,3933.36,0.5252377,CouldNotStabilize
"*aMM0++++++++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,20,1",16.08727,7481.729,7.480258,Success
"*aMM0--*bNM2++*cMN1++*dLM2+*eML1*fOM4*gNN4*hNL3*iMO4*jLN3*kKM4*lLL4*mMK4^ab^ac^ad^ae^bf^bg^bh^ci^cj^dk^dl^em^cg^dj^eh^el,14,3",-0.173483,1910.246,7.001957,CouldNotStabilize
"*aMM0+*bNM2++*cMN1++*dLM2++*eML1++*fLN3-*gNL3-^ab^ac^ad^ae^cf^bg,10,0",3.593566,2511.791,10.59092,Success
"*aMM4++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLN3++++++*gNL3++++++^ab^ac^ad^ae^cf^bg,26,0",0.0,0.0,0.0,Error
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM1*gMO2*hMK2*iKM2^ab^ac^ad^ae^bf^cg^eh^di,13,3",-0.0006887579,3782.201,1.174871,CouldNotStabilize
"*aMM0++++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN3+++++++*gNL3^ab^ac^ad^ae^cf^bg,26,0",-0.0004062625,5176.563,0.3038075,CouldNotStabilize
"*aMM0+++*bNM2*cMN1*dLM2*eML1*fOM1*gMO2*hKM1*iMK2*lKK4*kKL4*jLK1*mOL2*nOK3*oNK1*pON3*qNO1*rOO3*sLO1*tKO3*uKN4^ab^ac^ad^ae^bf^cg^dh^ei^mn^jl^kl^fm^hk^ij^io^on^fp^gq^qr^pr^gs^st^hu^ut,13,3",-2.911216e-06,3527.762,0.7758781,CouldNotStabilize
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM1++++*gMO2++++*hKM1*iMK2^ab^ac^ad^ae^bf^cg^dh^ei,5,3",2.09059,4174.201,12.99274,Success
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO1-*gOM2+*hKM2+*iLN0+*jMK1+*kNL3^ab^ac^ad^ae^cf^bg^dh^di^ej^bk^ci^ke,30,3",-0.7199178,5508.569,23.10814,CouldNotStabilize
"*aMM0-----*bNM2++*cMN1++*dLM2++*eML1++*fMO1+*gKM2+*hMK1+*iOM2+*jNL3+*kLN3+*lNN0-*mLL0-^ab^ac^ad^ae^cf^dg^eh^bi^ej^dk^bl^cl^em^dm^kc^jb,15,3",17.04275,4525.103,16.5425,CouldNotStabilize
"*aMM0+++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNN3++*gLL0^ab^ac^ad^ae^bf^df^ef^cg^eg,10,3",-0.1067725,5255.36,10.9837,CouldNotStabilize
"*aMM0+*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gNL0^ab^ac^ad^ae^df^eg^fc^gb,33,3",17.65112,5382.643,28.29803,Success
"*aMM0--*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-*hNN2*iLL1^ab^ac^ad^ae^df^eg^ch^di^ei,34,3",11.73463,4698.987,28.83814,Success
"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN3++*gNL3++^ab^ac^ad^ae^df^eg,5,3",17.35863,3649.02,9.993359,Success
"*aMM0+++++++++*bNM1+++*cMN2+++*dLM2+++*eML1+++*fLN0+++*gNL0+++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,80,3",15.11587,9426.67,27.22139,HitBoundary
"*aMM4*bNM4*cMN4*dLM4*eML4^ab^ac^ad^ae,2,1",0.0,0.0,0.0,Error
